Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
331	Waveform 1	1	14937.405893971	14938.712656836	66.8	159.5	FN
332	Waveform 1	1	14942.545440674	14943.241851807	67.0	226.0	FP
333	Waveform 1	1	15002.268726140	15003.186240492	82.6	148.2	FN
334	Waveform 1	1	15046.351211788	15047.491153862	84.9	175.4	FN
335	Waveform 1	1	15078.653350915	15079.459651406	103.0	155.0	FN
336	Waveform 1	1	15145.061798096	15146.454620361	67.0	226.0	FP
337	Waveform 1	1	15198.600518228	15199.601442975	64.5	177.6	FN
338	Waveform 1	1	15328.515258337	15329.822021202	57.7	157.3	FN
339	Waveform 1	1	15334.207061768	15335.669525146	67.0	226.0	FP
340	Waveform 1	1	15384.069478145	15385.431847941	50.9	136.9	FN
341	Waveform 1	1	15427.665435791	15428.570770264	67.0	226.0	FP
342	Waveform 1	1	15499.465423584	15500.022552490	67.0	226.0	FP
343	Waveform 1	1	15553.740460301	15554.685778118	71.3	184.4	FN
344	Waveform 1	1	15570.847564697	15571.613616943	67.0	226.0	FP
345	Waveform 1	1	15580.768263766	15581.741385049	143.7	225.1	FN
346	Waveform 1	1	15615.278594971	15616.462493896	67.0	226.0	FP
347	Waveform 1	1	15624.401580811	15624.958709717	67.0	226.0	FP
348	Waveform 1	1	15627.711732088	15628.907281093	57.7	152.7	FN
349	Waveform 1	1	15649.054534912	15649.542022705	67.0	226.0	FP
350	Waveform 1	1	15679.209136963	15680.601959229	67.0	226.0	FP
351	Waveform 1	1	15700.545836045	15701.741385049	62.2	184.4	FN
352	Waveform 1	1	15709.920867920	15710.756561279	67.0	226.0	FP
353	Waveform 1	1	15796.554412842	15797.947235107	67.0	226.0	FP
354	Waveform 1	1	15801.544911297	15802.629246440	60.0	155.0	FN
355	Waveform 1	1	15872.157512279	15872.936009305	73.5	166.3	FN
356	Waveform 1	1	15886.948577881	15887.436065674	67.0	226.0	FP
357	Waveform 1	1	15924.600518228	15925.740460301	46.4	152.7	FN
358	Waveform 1	1	16088.902657354	16090.515258337	80.3	186.7	FN
359	Waveform 1	1	16129.299652100	16130.135345459	67.0	226.0	FP
360	Waveform 1	1	16141.459651406	16143.127859319	55.4	211.6	FN
361	Waveform 1	1	16369.935084558	16371.158437027	84.9	143.7	FN
362	Waveform 1	1	16374.049997409	16374.967511761	100.7	168.6	FN
363	Waveform 1	1	16402.712656836	16403.963812771	57.7	143.7	FN
364	Waveform 1	1	16426.657049906	16427.602367723	71.3	164.0	FN
365	Waveform 1	1	16473.117828369	16473.814239502	67.0	226.0	FP
366	Waveform 1	1	16507.868743896	16508.495513916	67.0	226.0	FP
367	Waveform 1	1	16600.909271240	16601.744964600	67.0	226.0	FP
368	Waveform 1	1	16624.715431079	16625.771962757	91.6	173.1	FN
369	Waveform 1	1	16650.633026123	16651.329437256	67.0	226.0	FP
370	Waveform 1	1	16727.307891846	16727.934661865	67.0	226.0	FP
371	Waveform 1	1	16801.684853371	16802.713581584	112.0	184.4	FN
372	Waveform 1	1	16832.655200410	16834.184390997	75.8	188.9	FN
373	Waveform 1	1	16865.733062320	16866.622773207	109.7	182.1	FN
374	Waveform 1	1	16886.925323486	16887.621734619	67.0	226.0	TP
375	Waveform 1	1	16918.890594482	16919.656646729	67.0	226.0	TP
376	Waveform 1	1	16948.209503174	16949.045196533	67.0	226.0	FP
377	Waveform 1	1	17036.932281494	17037.767974854	67.0	226.0	TP
378	Waveform 1	1	17067.461500901	17068.768263766	87.1	195.7	FN
379	Waveform 1	1	17108.523345947	17109.289398193	67.0	226.0	FP
380	Waveform 1	1	17109.024968187	17109.664447887	118.8	211.6	FN
381	Waveform 1	1	17295.231170654	17295.857940674	67.0	226.0	TP
382	Waveform 1	1	17332.280242920	17332.907012939	67.0	226.0	FP
