Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	TP/FP/FN
265	Waveform 1	1	15811.978747955	15812.889763051	88.7	148.6	FN
266	Waveform 1	1	15820.368561394	15821.088898912	86.4	155.5	FN
267	Waveform 1	1	15833.186331927	15833.906669444	81.7	146.3	FN
268	Waveform 1	1	15891.453327330	15892.894002365	65.6	132.4	FN
269	Waveform 1	1	15939.957520867	15940.847349566	88.7	157.8	FN
270	Waveform 1	1	15940.572235107	15941.268646240	67.0	226.0	FP
271	Waveform 1	1	16008.541961670	16009.586578369	67.0	226.0	FP
272	Waveform 1	1	16037.651947021	16038.905487061	67.0	226.0	FP
273	Waveform 1	1	16096.660921474	16097.444818184	93.3	155.5	FN
274	Waveform 1	1	16108.173664847	16108.851629570	79.4	139.4	FN
275	Waveform 1	1	16111.563488459	16112.834672314	79.4	192.3	FN
276	Waveform 1	1	16115.355853625	16116.775342262	81.7	197.0	FN
277	Waveform 1	1	16130.771082603	16131.830402482	84.1	176.2	FN
278	Waveform 1	1	16144.232974554	16145.271108035	81.7	164.7	FN
279	Waveform 1	1	16193.856964111	16194.901580811	67.0	226.0	FP
280	Waveform 1	1	16275.440609388	16276.245692496	86.4	155.5	FN
281	Waveform 1	1	16293.766843289	16294.465994409	93.3	167.0	FN
282	Waveform 1	1	16314.538042403	16315.088888739	63.3	134.7	FN
283	Waveform 1	1	16336.771102948	16337.724490839	74.8	141.7	FN
284	Waveform 1	1	16383.821964544	16384.563488459	100.2	164.7	FN
285	Waveform 1	1	16535.127052738	16536.398236593	84.1	167.0	FN
286	Waveform 1	1	16630.228179932	16630.785308838	67.0	226.0	FP
287	Waveform 1	1	16707.251251221	16707.738739014	67.0	226.0	FP
288	Waveform 1	1	16838.597402971	16839.847400428	79.4	192.3	FN
289	Waveform 1	1	16896.326208944	16896.982987269	79.4	141.7	FN
290	Waveform 1	1	16912.639735076	16913.275327004	86.4	139.4	FN
291	Waveform 1	1	16927.436370074	16928.071962001	86.4	150.9	FN
292	Waveform 1	1	16959.436359901	16960.220256611	79.4	134.7	FN
293	Waveform 1	1	17161.211788156	17162.143989649	91.0	187.7	FN
294	Waveform 1	1	17259.720282043	17260.525365151	100.2	178.5	FN
295	Waveform 1	1	17284.635485590	17285.461755095	95.6	187.7	FN
296	Waveform 1	1	17384.601621940	17385.597382626	88.7	180.8	FN
297	Waveform 1	1	17564.533355713	17565.995819092	67.0	226.0	FP
298	Waveform 1	1	17717.076180970	17717.966009668	63.3	155.5	FN
299	Waveform 1	1	17839.963958740	17841.147857666	67.0	226.0	FP
300	Waveform 1	1	17977.838911628	17979.279586663	65.6	173.9	FN
301	Waveform 1	1	18087.766873807	18089.101616854	67.9	162.4	FN
302	Waveform 1	1	18390.199060041	18390.643974390	72.5	141.7	FN
303	Waveform 1	1	18408.406705048	18409.656702505	70.2	157.8	FN
304	Waveform 1	1	18591.716032556	18593.326198772	51.8	190.0	FN
305	Waveform 1	1	18624.563478287	18625.135511021	107.1	178.5	FN
306	Waveform 1	1	18656.881264078	18657.643974390	109.4	180.8	FN
307	Waveform 1	1	18842.999914008	18843.932115501	79.4	187.7	FN
308	Waveform 1	1	18932.093117881	18933.427860928	77.1	236.1	FN
309	Waveform 1	1	18946.421966553	18946.979095459	67.0	226.0	FP
310	Waveform 1	1	19035.701873779	19037.094696045	67.0	226.0	FP
311	Waveform 1	1	19106.940604301	19107.851619397	107.1	199.3	FN
312	Waveform 1	1	19397.987226583	19398.877055281	84.1	183.1	FN
313	Waveform 1	1	19411.665079408	19412.872704069	88.7	213.1	FN
314	Waveform 1	1	19498.453215432	19499.512535311	107.1	220.0	FN
315	Waveform 1	1	19525.677736315	19526.694683398	104.8	224.6	FN
316	Waveform 1	1	19553.809144877	19554.932023948	127.8	229.2	FN
317	Waveform 1	1	19600.800666249	19602.114222898	107.1	233.8	FN
318	Waveform 1	1	19816.991343827	19818.050663706	125.5	240.7	FN
319	Waveform 1	1	20054.133514404	20054.621002197	67.0	226.0	FP
320	Waveform 1	1	20064.419300920	20065.415061606	74.8	164.7	FN
321	Waveform 1	1	20238.025227821	20238.745565339	79.4	171.6	FN
322	Waveform 1	1	20548.626895064	20549.389605377	104.8	215.4	FN
